日期时间 (UTC+8),校准后_Unix时间戳,原始_LAS_GPS时间戳,状态,该秒内点数
2024-02-28 14:56:52,1709103412,393138261.037333,间隔于 1 & 2,0
2024-02-28 14:56:53,1709103413,393138262.037333,间隔于 1 & 2,0
2024-02-28 14:56:54,1709103414,393138263.037333,间隔于 1 & 2,0
2024-02-28 14:56:55,1709103415,393138264.037333,间隔于 1 & 2,0
2024-02-28 14:56:56,1709103416,393138265.037333,间隔于 1 & 2,0
2024-02-28 14:56:57,1709103417,393138266.037333,间隔于 1 & 2,0
2024-02-28 14:56:58,1709103418,393138267.037333,间隔于 1 & 2,0
2024-02-28 14:56:59,1709103419,393138268.037333,间隔于 1 & 2,0
2024-02-28 14:57:00,1709103420,393138269.037333,间隔于 1 & 2,0
2024-02-28 14:57:01,1709103421,393138270.037333,间隔于 1 & 2,0
2024-02-28 14:57:02,1709103422,393138271.037333,间隔于 1 & 2,0
2024-02-28 14:57:03,1709103423,393138272.037333,间隔于 1 & 2,0
2024-02-28 14:57:04,1709103424,393138273.037333,间隔于 1 & 2,0
2024-02-28 14:57:05,1709103425,393138274.037333,间隔于 1 & 2,0
2024-02-28 14:57:06,1709103426,393138275.037333,间隔于 1 & 2,0
2024-02-28 14:57:07,1709103427,393138276.037333,间隔于 1 & 2,0
2024-02-28 14:57:08,1709103428,393138277.037333,间隔于 1 & 2,0
2024-02-28 14:57:09,1709103429,393138278.037333,间隔于 1 & 2,0
2024-02-28 14:57:10,1709103430,393138279.037333,间隔于 1 & 2,0
2024-02-28 14:57:11,1709103431,393138280.037333,间隔于 1 & 2,0
2024-02-28 14:57:12,1709103432,393138281.037333,间隔于 1 & 2,0
2024-02-28 14:57:13,1709103433,393138282.037333,间隔于 1 & 2,0
2024-02-28 14:57:14,1709103434,393138283.037333,间隔于 1 & 2,0
2024-02-28 14:57:15,1709103435,393138284.037333,间隔于 1 & 2,0
2024-02-28 14:57:16,1709103436,393138285.037333,间隔于 1 & 2,0
2024-02-28 14:57:17,1709103437,393138286.037333,间隔于 1 & 2,0
2024-02-28 14:57:18,1709103438,393138287.037333,间隔于 1 & 2,0
2024-02-28 14:57:19,1709103439,393138288.037333,间隔于 1 & 2,0
2024-02-28 14:57:20,1709103440,393138289.037333,间隔于 1 & 2,0
2024-02-28 14:57:21,1709103441,393138290.037333,间隔于 1 & 2,0
2024-02-28 14:57:22,1709103442,393138291.037333,间隔于 1 & 2,0
2024-02-28 14:57:23,1709103443,393138292.037333,间隔于 1 & 2,0
2024-02-28 14:57:24,1709103444,393138293.037333,间隔于 1 & 2,0
2024-02-28 14:57:25,1709103445,393138294.037333,间隔于 1 & 2,0
2024-02-28 14:57:26,1709103446,393138295.037333,间隔于 1 & 2,0
2024-02-28 14:57:27,1709103447,393138296.037333,间隔于 1 & 2,0
2024-02-28 14:57:28,1709103448,393138297.037333,间隔于 1 & 2,0
2024-02-28 14:57:29,1709103449,393138298.037333,间隔于 1 & 2,0
2024-02-28 14:57:30,1709103450,393138299.037333,间隔于 1 & 2,0
2024-02-28 14:57:31,1709103451,393138300.037333,间隔于 1 & 2,0
2024-02-28 14:57:32,1709103452,393138301.037333,间隔于 1 & 2,0
2024-02-28 14:57:33,1709103453,393138302.037333,间隔于 1 & 2,0
2024-02-28 14:57:34,1709103454,393138303.037333,间隔于 1 & 2,0
2024-02-28 14:57:35,1709103455,393138304.037333,间隔于 1 & 2,0
2024-02-28 14:57:36,1709103456,393138305.037333,间隔于 1 & 2,0
2024-02-28 14:57:37,1709103457,393138306.037333,间隔于 1 & 2,0
2024-02-28 14:57:38,1709103458,393138307.037333,间隔于 1 & 2,0
2024-02-28 14:57:39,1709103459,393138308.037333,间隔于 1 & 2,0
2024-02-28 14:57:40,1709103460,393138309.037333,间隔于 1 & 2,0
2024-02-28 14:57:41,1709103461,393138310.037333,间隔于 1 & 2,0
2024-02-28 14:57:42,1709103462,393138311.037333,间隔于 1 & 2,0
2024-02-28 14:57:43,1709103463,393138312.037333,间隔于 1 & 2,0
2024-02-28 14:57:44,1709103464,393138313.037333,间隔于 1 & 2,0
2024-02-28 14:57:45,1709103465,393138314.037333,间隔于 1 & 2,0
2024-02-28 14:57:46,1709103466,393138315.037333,间隔于 1 & 2,0
